radius_m,viscosity_pa_s,radius_normalized_0p5_1p0,radius_normalized_0p55_1p0,radius_normalized_1p22_2p22,viscosity_scaled_by_min
6371000.0,6.999999999999999e+23,1.0,1.0,2.22,12006.861063464836
6359700.0,5.318e+23,0.9980449826989619,0.9982404844290658,2.216089965397924,9121.783876500858
6348400.0,3.399e+23,0.9960899653979238,0.9964809688581315,2.212179930795848,5830.188679245282
6337100.0,2.473e+23,0.9941349480968857,0.9947214532871972,2.2082698961937717,4241.852487135506
6325800.0,1.822e+23,0.9921799307958478,0.992961937716263,2.2043598615916955,3125.214408233276
6314600.0,1.207e+23,0.990242214532872,0.9912179930795848,2.200484429065744,2070.3259005145796
6303300.0,6.05e+22,0.9882871972318339,0.9894584775086505,2.196574394463668,1037.735849056604
6292000.0,2.666e+22,0.9863321799307958,0.9876989619377162,2.192664359861592,457.28987993138935
6280700.0,1.241e+22,0.9843771626297577,0.985939446366782,2.1887543252595156,212.86449399656945
6269400.0,5.841e+21,0.9824221453287197,0.9841799307958476,2.1848442906574395,100.18867924528301
6258100.0,2.772e+21,0.9804671280276817,0.9824204152249134,2.1809342560553633,47.54716981132076
6246800.0,1.412e+21,0.9785121107266437,0.9806608996539792,2.177024221453287,24.219554030874786
6235500.0,6.765e+20,0.9765570934256056,0.978901384083045,2.173114186851211,11.60377358490566
6224200.0,3.248e+20,0.9746020761245675,0.9771418685121107,2.169204152249135,5.571183533447685
6213000.0,1.56e+20,0.9726643598615917,0.9753979238754324,2.1653287197231834,2.6758147512864494
6201700.0,6.014e+19,0.9707093425605536,0.9736384083044982,2.1614186851211072,1.0315608919382504
6190400.0,5.887e+19,0.9687543252595155,0.971878892733564,2.1575086505190315,1.0097770154373928
6179100.0,5.843e+19,0.9667993079584776,0.9701193771626297,2.1535986159169553,1.002229845626072
6167800.0,5.83e+19,0.9648442906574395,0.9683598615916955,2.149688581314879,1.0
6156500.0,5.836e+19,0.9628892733564014,0.9666003460207613,2.145778546712803,1.0010291595197256
6145200.0,5.848e+19,0.9609342560553633,0.9648408304498269,2.141868512110727,1.0030874785591766
6133900.0,5.866e+19,0.9589792387543252,0.9630813148788927,2.1379584775086506,1.0061749571183534
6122600.0,5.885e+19,0.9570242214532871,0.9613217993079585,2.1340484429065745,1.009433962264151
6111400.0,5.906e+19,0.9550865051903115,0.9595778546712803,2.130173010380623,1.0130360205831903
6100100.0,1.482e+20,0.9531314878892734,0.9578183391003461,2.126262975778547,2.542024013722127
6088800.0,2.977e+20,0.9511764705882353,0.9560588235294118,2.1223529411764708,5.106346483704974
6077500.0,5.979e+20,0.9492214532871972,0.9542993079584776,2.1184429065743946,10.25557461406518
6066200.0,6.003e+20,0.9472664359861591,0.9525397923875433,2.1145328719723184,10.296740994854202
6054900.0,6.026e+20,0.945311418685121,0.950780276816609,2.1106228373702423,10.336192109777015
6043600.0,6.049e+20,0.943356401384083,0.9490207612456748,2.106712802768166,10.375643224699829
6032300.0,6.072e+20,0.941401384083045,0.9472612456747405,2.1028027681660904,10.415094339622641
6021000.0,6.096e+20,0.939446366782007,0.9455017301038062,2.098892733564014,10.456260720411663
6009800.0,6.12e+20,0.9375086505190311,0.9437577854671281,2.0950173010380624,10.497427101200685
5998500.0,6.145e+20,0.935553633217993,0.9419982698961938,2.091107266435986,10.540308747855917
5987200.0,6.17e+20,0.933598615916955,0.9402387543252595,2.08719723183391,10.58319039451115
5975900.0,6.195e+20,0.931643598615917,0.9384792387543253,2.083287197231834,10.626072041166381
5964600.0,1.244e+21,0.929688581314879,0.936719723183391,2.0793771626297577,21.337907375643226
5953300.0,2.813e+21,0.9277335640138409,0.9349602076124568,2.0754671280276815,48.250428816466545
5942000.0,4.71e+21,0.9257785467128028,0.9332006920415226,2.071557093425606,80.78902229845626
5930700.0,4.731e+21,0.9238235294117647,0.9314411764705883,2.0676470588235296,81.14922813036021
5919400.0,4.753e+21,0.9218685121107266,0.9296816608996541,2.0637370242214534,81.52658662092624
5908100.0,4.775e+21,0.9199134948096885,0.9279221453287197,2.0598269896193773,81.90394511149229
5896900.0,4.797e+21,0.9179757785467129,0.9261782006920416,2.055951557093426,82.28130360205832
5885600.0,4.82e+21,0.9160207612456748,0.9244186851211074,2.0520415224913497,82.67581475128645
5874300.0,4.842e+21,0.9140657439446367,0.9226591695501731,2.0481314878892736,83.05317324185248
5863000.0,4.865e+21,0.9121107266435986,0.9208996539792388,2.0442214532871974,83.44768439108061
5851700.0,4.889e+21,0.9101557093425605,0.9191401384083046,2.0403114186851212,83.85934819897084
5840400.0,4.912e+21,0.9082006920415224,0.9173806228373702,2.036401384083045,84.25385934819897
5829100.0,4.936e+21,0.9062456747404845,0.915621107266436,2.032491349480969,84.6655231560892
5817800.0,4.96e+21,0.9042906574394464,0.9138615916955017,2.0285813148788927,85.07718696397941
5806500.0,4.984e+21,0.9023356401384083,0.9121020761245675,2.0246712802768165,85.48885077186964
5795300.0,5.008e+21,0.9003979238754325,0.9103581314878892,2.020795847750865,85.90051457975986
5784000.0,5.032e+21,0.8984429065743944,0.908598615916955,2.016885813148789,86.31217838765009
5772700.0,5.056e+21,0.8964878892733563,0.9068391003460208,2.012975778546713,86.72384219554031
5761400.0,5.08e+21,0.8945328719723183,0.9050795847750865,2.0090657439446367,87.13550600343054
5750100.0,5.104e+21,0.8925778546712803,0.9033200692041523,2.005155709342561,87.54716981132076
5738800.0,5.128e+21,0.8906228373702423,0.9015605536332181,2.0012456747404848,87.95883361921098
